Дата,Доллар США,Евро
27.10.2020,76.4443,90.4489
28.10.2020,76.4556,90.3552
29.10.2020,77.5520,91.2632
30.10.2020,78.8699,92.6011
31.10.2020,79.3323,92.6284
03.11.2020,80.5749,93.7570
04.11.2020,80.0006,93.3447
06.11.2020,78.4559,92.1229
07.11.2020,77.1875,91.3514
10.11.2020,76.9515,91.4953
11.11.2020,76.3978,90.3557
12.11.2020,76.2075,90.0468
13.11.2020,77.1148,90.8104
14.11.2020,77.3262,91.3222
17.11.2020,76.9197,91.1729
